Continent,Union,Country,Name,Lift Operator,Phone,Email,no. of lift,Longitude,Latitude,WixID
Europe,EU,Poland,ZadziaŁE �E��E Nowy Targ,WyciāEg narciarski ZadziaŁE,"""+48182669137""",wyciag@zadzial.pl,1,20.0283482,49.5069556,a8b13d41-0118-4d6a-9a01-d7e9a73f2d1b
Europe,EU,Poland,Stok �E��E WisŁEa,�E��EBodeko Hotele�E��E Sp. z o.o.,"""+48338564380""",wyciag@hotelstok.pl,2,18.8264668,49.6582698,4d164df4-390e-41b0-8e62-237c7f68eac2
Europe,EU,Germany,Arft,Wintersportverein Mayen,"""+4926553539""",WSV-Mayen@t-online.de,2,7.082324,50.3825106,600b4b59-4281-4f42-b371-2e041c3fc421
Europe,EU,Austria,Schwoich,WSV Schwoich,"""+43537258620""",wsv@schwoich.info,2,12.1405215,47.5450736,11a277b9-034b-4104-bec9-77798e905d83
Europe,EU,Austria,Kronberg �E��E St. Georgen im Attergau,WSU Attergau,"""+4376676502""",wsu@schilift-kronberg.at,1,13.4828063,47.9036604,5b5feea3-ad9e-4437-bda9-f772c7ec6519
,,USA,Winter Park Resort,Winter Park Resort,"""+18009790332""",wpinfo@skiwinterpark.com,22,-105.762548,39.8868485,12ecc664-5e9c-453b-b5d3-12e8d1ef81a5
Europe,EU,Poland,Batorz,Wotex Stok Narciarski Batorz,"""+48158745028""",wotex@onet.eu,3,22.483333,50.85,85852a0d-31d1-4cd9-9f8a-5101a42c12d9
,,USA,Wolf Creek,Wolf Creek Ski Area,"""+19702645639""",wolfcreekski@wolfcreekski.com,7,-112.0691697,47.006054,edce75ea-86d1-4def-a3f4-66679c9b076a
Europe,EU,Germany,Fort Fun Winterwelt �E��E Bestwig,Fort Fun Winterwelt,"""+49290581201""",winterwelt@fortfun.de,2,8.436625,51.308334,39710881-f115-41c3-b5bb-12c7c0689c90
Europe,EU,Poland,BiaŁEy Jar �E��E Karpacz,Winterpol Karpacz,"""+48748660431""",winterpol@winterpol.eu,1,15.7391626,50.7734685,bc5778a4-3194-409a-9302-7211124972ed
Europe,EU,Austria,Gaissau-Hintersee,Gaissauer Bergbahn GmbH,"""+4362402070""",winterfreuden@gaissauhintersee.at,9,13.2443933,47.7080273,4f482f74-2546-4456-a8a0-8ac03465dc65
Europe,EU,Germany,Hohenstein,Windbeutel-Cafe und Skilift Hohensteiner Hof,"""+499152533""",windbeutel@hohensteinerhof.de,2,8.1004734,50.2002273,dacd87e9-c196-48f4-aad2-99a14dc18438
Europe,EU,Austria,Wimmerlifte �E��E Purgstall bei Eggersdorf,Wimmerlift,"""+436643257096""",wimmerlift@aon.at,2,15.5627116,47.1261442,5a2dd094-3033-444a-96c0-d7b2474e2c3e
,,USA,Wilmot Mountain,VRWM Holdings LLC,"""+12628622301""",WilmotMountainInfo@VailResorts.com,9,-88.1876602,42.4989548,7b9c9893-8834-4f7a-bc4b-4c42296a18d1
Europe,EU,Germany,Brigachlift �E��E Oberkirnach (St. Georgen),Brigachlift in Oberkirnach,"""+4977247329""",willi-st@t-online.de,1,8.30042,48.101092,865e0646-6409-41e6-baa3-fbbdbd6d5de1
Europe,EU,Germany,Oberer Schlossberg �E��E Oberkirnach (St. Georgen),Skilift Oberer Schlossberg,"""+4977241777""",wilfried_mueller@web.de,1,8.3020578,48.1004517,92f79608-eace-4a05-bade-d4c98c7f2fa9
Europe,EU,Germany,Münstertal-Wieden,Skilifte Münstertal-Wieden GmbH,"""+497636791097""",wiesler@skilifte-muenstertal-wieden.de,6,7.8801315,47.8410423,85c48d24-a628-4502-8d17-0516f00fa5a5
Asia,,Japan,White Valley Matsubara,White Valley Matsubara,"""+81826290021""",white-va@theia.ocn.ne.jp,2,132.2355949,34.644295,42720adb-50dc-4c15-9e52-07a6a05f3373
,,USA,Spout Springs,Spout Springs Ski Area,"""+15032854407""",WhitesDryDock@gmail.com,2,-79.06,35.26944,c564951e-96af-44e6-bad3-2e0f275487af
North America,,Canada,Gwynne Valley,Wetaskiwin Ski Club,"""+17803523515""",wetaskiwinskiclub@hotmail.com,2,-113.2172478,52.9851967,d4fe5348-bf3d-410f-8fb3-bbd4c1a04a23
,,USA,West Mountain,West Mountain Ski Resort,"""+15186363699""",west@westmtn.net,4,-111.7882659,40.0607872,f23d52df-f57f-4607-b23e-065bcd7ab3db
Europe,EU,Germany,Bidingen,Skilift Bidingen,"""+498348390""",werner.stoeller@gmx.de,1,10.7270071,47.8298946,b245dded-e41a-4dd8-a7e6-5b72e24392e5
,,South Korea,YongPyong Resort,Yongpyong Resort,"""+82333355757""",welcome@Yongpyong.co.kr,15,128.6802894,37.6429587,d3d2052a-07a1-449f-a460-36fb779acef4
Europe,,Georgia,Hatsvali �E��E Mestia,Mestia Ski Resort,"""+995593797766""",welcome@skigeorgia.ge,4,42.7336783,43.0296423,7ebe32bd-e092-4dc5-b46b-b76ba54809c7
Europe,EU,Austria,Platzhaus-Leit'n �E��E Stuhlfelden,Mittersill Tourismus,"""+4365624292""",welcome@mittersill.info,1,12.5286276,47.2887299,9e6c7c84-6e47-4b8a-a5e7-25aad4ed2e73
Europe,EU,Austria,Tauplitz �E��E Bad Mitterndorf,Tauplitzer Fremdenverkehrsgesellschaft m.b.H.,"""+4336882252""",welcome@dietauplitz.com,16,14.0118664,47.5611157,f13caf9e-2683-46c9-a0d2-e9abb991e9c0
Europe,EU,Germany,Ronsberg,SC 1919 Ronsberg e.V.,"""+4983067199083722344""",wegabu@t-online.de,2,10.4148808,47.8960933,59bf3ccf-a5a9-4cc3-8f4c-07eecca40bcf
North America,,Canada,Centre de Plein Air �E��E Lévis,Mairie de Lévis,"""+14188392002""",webmestre@ville.levis.qc.ca,2,-71.1598447,46.8215279,b3ac1255-d01a-44c2-a9a9-1580bee6f356
Europe,EU,Germany,Am SchieÁEberg �E��E Crottendorf,Wintersportverein Crottendorf,"""+4901735853370""",webmaster@wintersportverein-crottendorf.de,1,12.9410282,50.5092052,20cfe50f-8b48-4dce-a221-5d9805bdc6ce
,,USA,American Dream Meadowlands �E��E East Rutherford (indoor ski area),Meadowlands,"""+12019358500""",webmaster@visitmeadowlands.com,,-74.0677451,40.8116428,b3b5510a-89f6-41c9-ad8c-e033b413b0e0
,,USA,Hyland Ski & Snowboard Area,Three Rivers Park District Administrative Office,"""+17635599000""",webmaster@threeriversparkdistrict.org,3,-93.363611,44.84363,79e3f31b-7584-4776-9255-6dc1e7aa3cd2
North America,,Canada,Edelweiss Valley Ski Resort,Les Sommets,"""+14502274671""",webmaster@sommets.com,4,-75.8506025,45.6467589,ae5ef583-2c55-49a6-9621-2beb3625b067
North America,,Canada,Mont Saint-Sauveur,Les Sommets,"""+14502274671""",webmaster@sommets.com,7,-74.151827,45.88492,e5f2f702-23d3-494d-8408-801bfa2d9bb7
Europe,EU,Germany,Lauenhain (Ludwigsstadt),Skiliftbetriebe Ludwigsstadt GmbH,"""+4992639543""",webmaster@skizentrum-ludwigsstadt.de,1,11.402709,50.4581834,6c0be7c7-2eca-42ec-864e-994b432dd57b
Europe,EU,Germany,Ludwigsstadt,Skiliftbetriebe Ludwigsstadt GmbH,"""+4992639543""",webmaster@skizentrum-ludwigsstadt.de,2,11.3848384,50.4872937,42bfa939-75fd-499f-ab86-6a7b6e1de277
,,USA,Beaver Mountain,Beaver Mtn. Ski Area Office,"""+14359463610""",webmaster@skithebeav.com,4,-111.544144,41.968075,c1c1b6c2-f85b-4015-9007-fc061df8fb2a
,,USA,Pine Knob,Pine Knob Ski and Snowboard Resort,"""+12486250800""",webmaster@skipineknob.com,10,-83.3691037,42.7456304,1079ca2e-66e5-49ae-aa09-52acac476895
,,USA,Mt. Jefferson,Ski Mt. Jefferson,"""+12077382377""",webmaster@skimtjefferson.com,3,-121.7995351,44.6742707,7dab085b-0513-48be-8f57-94bf06d00c58
,,USA,Mad River Mountain,Mad River Mountain,"""+193759910150""",webmaster@skimadriver.com,9,-83.6776953,40.3180764,3f44e7dd-f8ff-48a1-80c3-32a1238cd8ff
Europe,EU,Germany,Ochsenwang,Bissingen-Ochsenwang,,webmaster@skilift-ochsenwang.de,1,9.5109178,48.5780005,b189e30c-a747-4d63-9330-719c8baa6951
Europe,EU,Germany,Mertenberg �E��E Schnaittenbach,Skilift Mertenberg,"""+499604909198""",webmaster@skilift-mertenberg.de,1,12.03714,49.5061391,a17b8bcd-54b7-44d2-aafa-2ab321b967e9
Europe,EU,Germany,Winterberg (Skiliftkarussell),Skigebiet Kappe,"""+4929819296433""",webmaster@skiliftkarussell.de,21,8.5239772,51.1989209,e2597712-409b-4d34-9baf-6b2c2d6f6cf0
Europe,EU,Germany,Winterberger Nordhang,Skiliftkarussell Winterberg,"""+4929813114""",webmaster@skiliftkarussell.de,1,8.4896234,51.1857186,00adef08-1584-4683-8661-c409bc55f1da
Europe,,Switzerland,Springenboden,Skilifte Springenboden,"""+41336811532""",webmaster@skilifte-springenboden.ch,3,7.5769005,46.6201738,43331115-d91e-4ab2-a354-61ff779349ae
,,USA,Kelly Canyon,Kelly Canyon Ski Resort,"""+12085386251""",webmaster@skikelly.com,4,-111.6308829,43.644534,4e20ed10-ed30-4e20-a488-9218a56d5d26
,,USA,Crested Butte,Crested Butte Mountain Resort,"""+19703492222""",webmaster@skicb.com,12,-106.9878231,38.8697146,649be060-6f22-4b6b-8d84-26ac5b93e966
,,USA,Bald Mountain,Bald Mountain Ski Area,"""+12084642311""",webmaster@skibaldmountain.com,2,-82.7954209,35.9464925,8357145b-09c2-4a2b-84a8-bce463e614b7
,,USA,Apache,Ski Apache,"""+15754643600""",webmaster@skiapache.com,11,-98.3658875,34.8936766,f72c4f3f-da63-4dfc-a6f3-17556541d399
Europe,EU,Germany,Rothenberg �E��E Schnaittach,Skiclub Rothenberg Schnaittach e.V.,,webmaster@scrschnaittach.de,1,11.3191472,49.5316239,029812d2-2575-4e54-ba51-b279d68dd296
Europe,EU,Denmark,Hedelands Skicenter,Roskilde Skiclub,,webmaster@roskildeskiklub.dk,3,12.1744213,55.627391,9a467483-f686-4875-b2c7-5f5dbe5d73a6
,,North Caucasus,Arkhyz,Northern Caucasus Resorts,"""+74959566701""",webmaster@ncrc.ru,3,41.2812897,43.5631805,5a381e11-c935-47e4-ace8-55bddbbbce09
,,USA,Mt. Baldy,Mt Baldy Ski Lifts Inc.,"""+19099820800""",webmaster@mtbaldyskilifts.com,4,-117.6589752,34.2363809,a87c1f95-8e63-4936-a0f4-4550d2a2219f
North America,,Canada,Mont Avila,Les Sommets,"""+14502274671""",webmaster@mssi.ca,3,-74.151827,45.88492,0b469d12-fd6c-4fe3-a279-7b1433f1fd60
Europe,EU,Austria,Saualpe �E��E Eberstein,Marktgemeinde Eberstein,,webmaster@meilenstein-music.at,1,14.6666668,46.8333333,627ebc6c-cfbe-423a-8221-393408271e5a
Europe,EU,Germany,Pöhla (Schwarzenberg),SV Fortuna Pöhla 1884 e. V.,,webmaster@max-mennicke.de,1,12.8158201,50.5091154,9e412359-7110-4231-9436-96bc57409205
,,USA,Marquette Mountain,Marquette Mountain,"""+19062251155""",webmaster@marquettemountain.com,4,-87.4205293,46.5082898,363e61c6-229a-4b89-8f1f-cb925ae19cba
,,USA,Lost Trail Powder Mountain,Lost Trail Powder Mountain,"""+14068213211""",webmaster@losttrail.com,8,-113.9501248,45.6935102,2fb9e248-af06-4b88-a43f-15b2b0754366
,,USA,Liberty Mountain,Liberty Mountain Resort,"""+17176428282""",webmaster@libertymountainresort.com,6,-77.375459,39.76366,aa1a7a74-8100-4061-bc93-04c7ea2fb440
Europe,EU,United Kingdom,Lake District Ski Club �E��E Raise,Lake District Ski Club �E��E Raise,,webmaster@ldscsnowski.co.uk,1,-3.0136254,54.552054,114bcc4b-7a2c-4287-916d-65b8da084924
,,USA,Labrador Mountain,Labrador Mountain,"""+16078426204""",webmaster@labradormtn.com,4,-76.030215,42.741791,db759b9e-f4d4-4a63-a719-0d03bfad56bc
,,USA,Hunt Hollow Ski Club,Hunt Hollow Ski Club,"""+15853745428""",webmaster@hunthollow.com,4,-77.4781205,42.6460964,23b582ba-0070-45d0-8a61-ed9435a0f1b8
,,USA,Hunter Mountain,Hunter Mountain,"""+18004868376""",webmaster@huntermtn.com,12,-74.2105038,42.2044144,826685e5-b1f3-438a-a809-e9419761b557
,,USA,Holiday Valley,Holiday Valley,"""+1716699234""",webmaster@holidayvalley.com,13,-78.6629204,42.2624739,9dda2cb7-76f6-47b7-a320-12711e1de862
Europe,EU,Italy,Rein in Taufers (Riva di Tures),Rein in Taufers,"""+390474672501""",webmaster@hochgall.com,2,12.0667771,46.9496931,7567ec9c-bd49-4288-8b50-01abff2a5618
,,South Korea,High1 Resort,High1 Resort,"""+8215887789""",webmaster@high1.com,11,128.8253198,37.2074566,e51a8c35-f529-42e6-879c-8f596871f60d
,,USA,Copper Mountain,Copper Mountain Resort,"""+18668412481""",webmaster@coppercolorado.com,18,-106.1509952,39.502141,5e9fb36b-408f-4ed1-85e3-eb6e178def13
,,USA,Cooper Spur,Cooper Spur Mountain Resort,"""+15326692""",webmaster@cooperspur.com,1,-121.605828,45.4116278,a5757cb5-2d99-45f5-990b-4de8209e78cb
,,USA,Christmas Mountain,Christmas Mountain Village,"""+16082531000""",webmaster@christmasmountainvillage.com,4,-89.861353,43.609581,ba0cfb0b-4d2b-4b13-9575-8c6f2d5168f8
,,USA,Caberfae Peaks,Caberfae Peaks Ski & Golf Resort,"""+12318623000164""",webmaster@caberfaepeaks.com,5,-85.7205725,44.2447088,339d669a-ea3c-4c1b-9116-56e483440a86
,,USA,Bryce Resort,Bryce Resort,"""+15408562121""",webmaster@bryceresort.com,2,-78.7646228,38.81435,5f426ae1-1289-409d-be53-36d37f7fbe04
,,USA,Brian Head,Brian Head Resort,"""+14356772042""",webmaster@brianhead.com,8,-112.8507766,37.6927551,6f0ac75f-81c8-4bd4-8376-0128e436a09c
,,USA,Afton Alps,Afton Alps Recreation Area,"""+16514365245""",webmaster@aftonalps.com,20,-92.7835373,44.9027452,be4eb159-e78d-4d6c-828c-a7a77c3fa3b5
Europe,EU,Sweden,ÁEre,Skistar ÁEre,"""+46771840000""",webmaster.are@skistar.com,31,13.0815058,63.3990428,e37d2d42-2ac9-4f55-9a21-d17acd6ce68e
Europe,EU,Sweden,Duved,Skistar ÁEre,"""+46771840000""",webmaster.are@skistar.com,10,12.9175818,63.3924767,b06f2519-9f7e-4cfd-bb5f-6882ab7a68bf
Europe,EU,Sweden,Tegefjäll,Skistar ÁEre,"""+46771840000""",webmaster.are@skistar.com,10,12.9764597,63.4008281,71712561-bf0f-47a6-a0de-a8ddadf90c87
Europe,EU,Slovakia,Veľká RaāEa,Snow Paradise Veľká RaāEa OšāEadnica,"""+421414382120""",webisvr@webis.sk,6,18.968879,49.4132942,73855097-6953-4af0-bb15-970de3e7e512
North America,,Canada,Whistler Blackcomb,Whistler Blackcomb Mountain Resorts Ltd.,"""+16049323141""",wbres@whistlerblackcomb.com,26,-122.9486474,50.1149639,8f742ace-a640-4ba4-ab75-6837c113926f
North America,,Canada,Wapiti Valley,Wapiti Valley,"""+13068625621""",wapitivalley@sasktel.net,3,-104.4598692,53.2332362,a5c222f8-1505-4273-8a44-97277e4f84d0
Europe,EU,Austria,Dorflift Sulzberg,Sulzberg/Dorflift,"""+4355162216""",walter@dorflift.com,1,9.9085327,47.5223525,f5982ae1-d9bb-4321-9c27-c143b83ed7d7
Europe,EU,Austria,Hausberglift �E��E Waidring,Tourismusverband Pillerseetal - Büro Waidring,"""+4353545630430""",waidring@pillerseetal.at,3,12.565004,47.5875107,88bad6ee-32f1-47bb-8a01-416db6bbd576
Europe,EU,Austria,Wachtberglifts �E��E Weyregg am Attersee,Wachtberglifte,"""+43664078990""",wachtberglifte.weyregg@utanet.at,3,13.5807867,47.8887907,e472c774-49bb-4cf8-902b-2aefbf643cd9
Europe,EU,Czech Republic,Vurmovka,Skiareál Vurmovka,"""+420481582363""",vurmovka@volny.cz,1,15.511498,50.6856137,49b30b53-5a9d-45b5-8734-427682b52b48
Europe,EU,Czech Republic,Pec pod SnāEžkou,MEGA PLUS s.r.o.,"""+420499875152""",vrzal@megaplus.cz,13,15.7331672,50.6938809,814bfd24-bbe3-4951-9b23-6553e93d3265
Europe,EU,Czech Republic,Sagasserovy boudy �E��E Velká ÁEpa,MEGA PLUS s.r.o.,"""+420499875152""",vrzal@megaplus.cz,1,15.772181,50.703848,9c03d63f-fe25-40d5-b1d8-4170438e1c03
Europe,EU,Czech Republic,Velká ÁEpa,MEGA PLUS s.r.o.,"""+420499875152""",vrzal@megaplus.cz,4,15.7679004,50.6902497,b20f099f-1afd-4131-9827-b9acb2eeeb13
Europe,EU,Germany,Kalte Herberge �E��E Urach,Skilift Kalte Herberge,"""+4977237389""",vroni@skilift-kalte-herberge.de,1,8.1961009,48.0003259,f93c564e-a738-41e3-8fae-3c1f98c8937c
Europe,EU,Czech Republic,Vraclávek,Vlek Vraclávek,"""+420723124553""",vraclavek@post.cz,2,17.5616319,50.126243,230296e9-8523-4c4e-a593-e134d95650f8
Europe,EU,Germany,Brennberglift �E��E Etzelwang,Skiverein Etzelwang e. V,"""+4991545642""",vorstand-1@brennberglift.de,1,11.5808826,49.5219183,e743d5eb-d5ed-467b-b120-de30f2024533
Europe,EU,Germany,Ramensteinhang �E��E Nattheim,TSG Nattheim e.V.,"""+497321975975""",vorstand@tsg-nattheim.de,1,10.2304602,48.7073604,6496ddfd-c478-4acb-8428-12562be4354d
Europe,EU,Germany,Fröttmaninger Berg �E��E Munich,Fröttmaninger Skiarena e.V.,,vorstand@skiverband-muenchen.de,2,11.630926,48.2143509,a3a2494c-0b11-41e6-9d08-bab8fe8fa7e7
Europe,EU,Germany,Wehingen,Skiclub Wehingen e.V.,"""+497426520364""",vorstand@sc-wehingen.de,1,8.7909078,48.1477421,3a916bea-2b94-4dc4-9f09-f3e59b2ba5fc
Europe,EU,Germany,Weikersberg �E��E Königsbronn,SC Königsbronn e.V.,"""+497328923950""",vorstand@sc-koenigsbronn.de,1,10.0779978,48.7299223,09fa50d1-201d-4a99-a564-80618e33ee41
Europe,EU,Germany,Greuth �E��E Gerstetten,Skiclub Gerstetten e.V.,"""+4973235687""",vorstand@sc-gerstetten.de,1,10.0003986,48.6079112,0677b197-f20e-4df1-b27a-e0a6f4230b51
Europe,EU,Greece,Voras �E��E Kaimaktsalan,Kaimaktsalan,"""+302381032000""",voras@kaimaktsalan.gr,5,21.7869444,40.9308333,ac13e0a7-17fe-40ba-a89d-3bf8cd264bd5
Europe,EU,Czech Republic,Bílé Karpaty �E��E MikulāEin Vrch,Ski centrum Bílé Karpaty,"""+420571892468""",vop014@avonet.cz,2,17.8133333,48.9488889,823f2e31-cfd6-4332-9ee0-772cbee98af7
Europe,EU,Spain,Manzaneda,Estación de Montaña Manzaneda,"""+34988309090""",von@manzaneda.com,6,-7.2346105,42.310337,c2cf36ec-56e8-4b78-b4e3-8b97aa6f7568
Europe,,Iceland,Húsavík,ÁEþróttafélagið Völsungur,"""+3544642052""",volsungur@volsungur.is,1,-17.3383442,66.0449706,29f0ed24-27d2-4360-a569-9d96c261a353
Europe,EU,Czech Republic,āEerný Důl,MEGA PLUS s.r.o.,"""+420499875152""",vojtech@megaplus.cz,6,15.7106011,50.6349589,bf5db3a8-08dd-4a6a-95c8-3158251fd4e8
Europe,EU,Germany,Vogelskopf (Baiersbronn),Skilifte Vogelskopf,"""+49744281203""",vogelskopf@gmx.net,1,8.221829,48.5556519,41892264-dd3b-491f-8c07-8c4f24c704d0
Europe,EU,Czech Republic,Zbraslav u Brna,LyžaŁEský vlek Zbraslav u Brna,,vlekzbraslav@email.cz,2,16.2941515,49.2215531,ff1ac63c-92fb-47ea-8d9e-867d96fa3b87
Europe,EU,Czech Republic,Lužná,Ski Areál Lužná,"""+420737134026""",vlekyluzna@seznam.cz,2,13.7700524,50.1237762,fec4f7c0-8a71-4a2e-a81a-98fa8d1dcb1b
Europe,EU,Czech Republic,Seninka,LyžaŁEský vlek TJ Sokol Seninka,"""+420603267418""",vlek@seninka.cz,1,17.9650603,49.2732105,8d5773c0-8abf-4ded-bb3c-3a85261a3b73
Europe,EU,Slovenia,Pokljuka �E��E Goreljek,Družinski center Pokljuka,"""+38631203566""",vlecnice.pokljuka@gmail.com,3,13.9741196,46.3323343,fbdb7edb-23bb-4c97-bd95-06ef1adb8c7b
Europe,EU,Bulgaria,Vitosha �E��E Sofia,Vereinigte Bergbahnen Bulgarien,"""+35929633678""",vitoshaski@vitoshaski.com,15,23.251389,42.653889,81295268-488a-4c9b-b0a6-9576e60e26b0
North America,,Canada,Vista Ridge,Vista Ridge Recreational Association,"""+17807348651""",vistaridge@shaw.ca,3,-111.1339164,56.6617179,9281c661-2234-419e-8974-88b304782192
,,USA,Sapphire Valley,Sapphire Valley Ski Area,"""+18287437663""",visitus@sapphirevalley.com,1,-83.0575867,35.1250591,a23f5a5f-b8c9-4223-b3c1-7077eb2cc0ff
Europe,EU,Finland,Vihti Ski Center,Vihti Ski Center,"""+35892252550""",vihtiski@vihtiski.fi,8,24.3675036,60.3807384,bbb30339-019d-4fb9-9bbb-a891c6679073
Europe,,Switzerland,Eggiwil �E��E Netschbühl,Verein Skilift Netschbüel,"""+41344911776""",verkehrsverein@eggiwil.ch,1,7.7753492,46.8834709,44f9b65c-24bb-4fe7-bbb4-a0ee541916ea
Europe,EU,Spain,Panticosa,Aramón Panticosa,"""+34974487248""",ven@panticosa-loslagos.com,11,-0.2842732,42.7237286,dfe8afb0-ff31-46a6-b377-49ac41adfd1e
Europe,EU,Sweden,Björnrike,Skistar Vemdalen,"""+46771840000""",vemdalen@skistar.com,11,13.8620434,62.4447051,feeeacb9-1291-4f6d-aef1-256e4de42fc6
Europe,EU,Sweden,Klövsjö,Skistar Vemdalen,"""+46771840000""",vemdalen@skistar.com,14,14.1944191,62.5282992,7002112e-f528-4c1a-8de0-783a5a6575e2
Europe,EU,Sweden,Storhogna,Skistar Vemdalen,"""+46771840000""",vemdalen@skistar.com,14,14.0983552,62.5047418,b324b0ca-6b75-4931-9138-6d3a7ea227f5
Europe,EU,Sweden,Vemdalsskalet,Skistar Vemdalen,"""+46771840000""",vemdalen@skistar.com,10,13.8620434,62.4447051,ae3f6e60-c614-4103-ba8e-b1487d7e0085
Europe,,Ukraine,Velykyj,Velykyj,"""+380678331313""",velykiy@mail.ru,3,24.2656219,50.4058638,be64dcdb-180d-4d2c-be79-6fd299aa866e
Europe,EU,Czech Republic,Luka nad Jihlavou,Ski Luka nad Jihlavou,"""+420732921877""",vanek@drevocentrum.cz,2,15.7019393,49.374032,a2785e6f-e6e2-458c-99c0-92f614eb57fa
Europe,,Andorra,Arcalís �E��E Ordino (Vallnord),Vallnord S.A.,"""+376878000""",vallnord@vallnord.com,14,1.4992993,42.6313635,31fa2126-00f8-4684-97a3-637dabd711a8
Europe,,Andorra,Arinsal �E��E La Massana (Vallnord),Vallnord S.A.,"""+376878000""",vallnord@vallnord.com,14,1.5143767,42.5468699,f3a621fb-f766-4464-a9b7-34a1ace81ba0
Europe,,Andorra,Pal,Vallnord S.A.,"""+376878000""",vallnord@vallnord.com,14,1.4751955,42.544869,61c73c51-0ce6-466a-a648-c31400eac859
Europe,EU,France,Prat Peyrot �E��E Mont Aigoual,Prat Peyrot,"""+33467731980""",valleraugue.mairie@wanadoo.fr,11,3.5518164,44.1162664,da912aff-dddb-4a6b-a25a-e8927f973647
Europe,EU,Spain,Vall de Núria,Estació de Muntanya Vall de Núria,"""+34972732020""",valldenuria@valldenuria.cat,5,2.1527838,42.3965825,38d1e3e9-d526-481e-a805-1071a380fdf2
Europe,EU,France,Valdrôme,Station de Valdrôme,"""+33475214724""",valdrome@ladrome.fr,5,5.571565,44.504108,fb8ba47e-0926-4933-8e9f-5868ed9e55e0
Europe,EU,Spain,Valdesqui,"Estación Alpina de Cotos, SA",,valdesqui@valdesqui.es,13,-3.970615,40.805066,4e2c7da6-759a-440a-aba9-8662c97b3143
Europe,EU,France,Chaux Neuve,Station de Chaux-Neuve,"""+33381692679""",valdemouthe@wanadoo.fr,2,6.132854,46.679694,ed45dea1-7ab3-41d5-b11c-623a57d7f62a
,,USA,Vail,Vail Resorts Management Company,"""+19704765601""",vailinfo@vailresorts.com,25,-106.3741955,39.6402638,04a85b8d-d9f9-4b9f-90e7-14287054a030
Europe,EU,Germany,Wengen (Weitnau),Skilift Wengen,"""+49837597387""",uwe.greiter@gmail.com,1,10.1466374,47.6763728,299a269f-e5db-4cad-a207-a777825cd09e
